2020-04-23 07:35:41 status half-configured mawk:arm64 1.3.4.20200120-2
2020-04-23 07:35:41 status unpacked mawk:arm64 1.3.4.20200120-2
2020-04-23 07:35:41 status half-installed mawk:arm64 1.3.4.20200120-2
2020-04-23 07:35:41 status unpacked mawk:arm64 1.3.4.20200120-2
2020-04-23 07:35:41 install mount:arm64 <none> 2.34-0.1ubuntu9
2020-04-23 07:35:41 status half-installed mount:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:42 status unpacked mount:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:42 install ncurses-base:all <none> 6.2-0ubuntu2
2020-04-23 07:35:42 status half-installed ncurses-base:all 6.2-0ubuntu2
2020-04-23 07:35:42 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-04-23 07:35:42 install ncurses-bin:arm64 <none> 6.2-0ubuntu2
2020-04-23 07:35:42 status half-installed ncurses-bin:arm64 6.2-0ubuntu2
2020-04-23 07:35:42 status unpacked ncurses-bin:arm64 6.2-0ubuntu2
2020-04-23 07:35:42 install passwd:arm64 <none> 1:4.8.1-1ubuntu5
2020-04-23 07:35:42 status half-installed passwd:arm64 1:4.8.1-1ubuntu5
2020-04-23 07:35:42 status unpacked passwd:arm64 1:4.8.1-1ubuntu5
2020-04-23 07:35:42 upgrade perl-base:arm64 5.30.0-9build1 5.30.0-9build1
2020-04-23 07:35:42 status half-configured perl-base:arm64 5.30.0-9build1
2020-04-23 07:35:42 status unpacked perl-base:arm64 5.30.0-9build1
2020-04-23 07:35:42 status half-installed perl-base:arm64 5.30.0-9build1
2020-04-23 07:35:43 status unpacked perl-base:arm64 5.30.0-9build1
2020-04-23 07:35:43 install procps:arm64 <none> 2:3.3.16-1ubuntu2
2020-04-23 07:35:43 status half-installed procps:arm64 2:3.3.16-1ubuntu2
2020-04-23 07:35:43 status unpacked procps:arm64 2:3.3.16-1ubuntu2
2020-04-23 07:35:43 install sed:arm64 <none> 4.7-1
2020-04-23 07:35:43 status half-installed sed:arm64 4.7-1
2020-04-23 07:35:43 status unpacked sed:arm64 4.7-1
2020-04-23 07:35:43 install sensible-utils:all <none> 0.0.12+nmu1
2020-04-23 07:35:43 status half-installed sensible-utils:all 0.0.12+nmu1
2020-04-23 07:35:43 status unpacked sensible-utils:all 0.0.12+nmu1
2020-04-23 07:35:43 install sysvinit-utils:arm64 <none> 2.96-2.1ubuntu1
2020-04-23 07:35:43 status half-installed sysvinit-utils:arm64 2.96-2.1ubuntu1
2020-04-23 07:35:43 status unpacked sysvinit-utils:arm64 2.96-2.1ubuntu1
2020-04-23 07:35:43 install tar:arm64 <none> 1.30+dfsg-7
2020-04-23 07:35:43 status half-installed tar:arm64 1.30+dfsg-7
2020-04-23 07:35:43 status unpacked tar:arm64 1.30+dfsg-7
2020-04-23 07:35:43 install util-linux:arm64 <none> 2.34-0.1ubuntu9
2020-04-23 07:35:43 status half-installed util-linux:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:43 status unpacked util-linux:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:43 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu1
2020-04-23 07:35:43 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu1
2020-04-23 07:35:43 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu1
2020-04-23 07:35:43 startup packages configure
2020-04-23 07:35:43 configure lsb-base:all 11.1.0ubuntu2 <none>
2020-04-23 07:35:43 status unpacked lsb-base:all 11.1.0ubuntu2
2020-04-23 07:35:43 status half-configured lsb-base:all 11.1.0ubuntu2
2020-04-23 07:35:43 status installed lsb-base:all 11.1.0ubuntu2
2020-04-23 07:35:43 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2020-04-23 07:35:43 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-04-23 07:35:43 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2020-04-23 07:35:43 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-04-23 07:35:43 configure libsemanage-common:all 3.0-1build2 <none>
2020-04-23 07:35:43 status unpacked libsemanage-common:all 3.0-1build2
2020-04-23 07:35:43 status half-configured libsemanage-common:all 3.0-1build2
2020-04-23 07:35:43 status installed libsemanage-common:all 3.0-1build2
2020-04-23 07:35:43 configure gcc-10-base:arm64 10-20200411-0ubuntu1 <none>
2020-04-23 07:35:43 status unpacked gcc-10-base:arm64 10-20200411-0ubuntu1
2020-04-23 07:35:43 status half-configured gcc-10-base:arm64 10-20200411-0ubuntu1
2020-04-23 07:35:43 status installed gcc-10-base:arm64 10-20200411-0ubuntu1
2020-04-23 07:35:43 configure ncurses-base:all 6.2-0ubuntu2 <none>
2020-04-23 07:35:43 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-04-23 07:35:43 status half-configured ncurses-base:all 6.2-0ubuntu2
2020-04-23 07:35:43 status installed ncurses-base:all 6.2-0ubuntu2
2020-04-23 07:35:43 configure sensible-utils:all 0.0.12+nmu1 <none>
2020-04-23 07:35:43 status unpacked sensible-utils:all 0.0.12+nmu1
2020-04-23 07:35:43 status half-configured sensible-utils:all 0.0.12+nmu1
2020-04-23 07:35:43 status installed sensible-utils:all 0.0.12+nmu1
2020-04-23 07:35:43 configure libcrypt1:arm64 1:4.4.10-10ubuntu4 <none>
2020-04-23 07:35:43 status unpacked libcrypt1:arm64 1:4.4.10-10ubuntu4
2020-04-23 07:35:43 status half-configured libcrypt1:arm64 1:4.4.10-10ubuntu4
2020-04-23 07:35:43 status installed libcrypt1:arm64 1:4.4.10-10ubuntu4
2020-04-23 07:35:43 configure libgcc-s1:arm64 10-20200411-0ubuntu1 <none>
2020-04-23 07:35:43 status unpacked libgcc-s1:arm64 10-20200411-0ubuntu1
2020-04-23 07:35:43 status half-configured libgcc-s1:arm64 10-20200411-0ubuntu1
2020-04-23 07:35:43 status installed libgcc-s1:arm64 10-20200411-0ubuntu1
2020-04-23 07:35:43 configure libc6:arm64 2.31-0ubuntu9 <none>
2020-04-23 07:35:43 status unpacked libc6:arm64 2.31-0ubuntu9
2020-04-23 07:35:43 status half-configured libc6:arm64 2.31-0ubuntu9
2020-04-23 07:35:44 status installed libc6:arm64 2.31-0ubuntu9
2020-04-23 07:35:44 configure libudev1:arm64 245.4-4ubuntu3 <none>
2020-04-23 07:35:44 status unpacked libudev1:arm64 245.4-4ubuntu3
2020-04-23 07:35:44 status half-configured libudev1:arm64 245.4-4ubuntu3
2020-04-23 07:35:44 status installed libudev1:arm64 245.4-4ubuntu3
2020-04-23 07:35:44 configure libsepol1:arm64 3.0-1 <none>
2020-04-23 07:35:44 status unpacked libsepol1:arm64 3.0-1
2020-04-23 07:35:44 status half-configured libsepol1:arm64 3.0-1
2020-04-23 07:35:44 status installed libsepol1:arm64 3.0-1
2020-04-23 07:35:44 configure libattr1:arm64 1:2.4.48-5 <none>
2020-04-23 07:35:44 status unpacked libattr1:arm64 1:2.4.48-5
2020-04-23 07:35:44 status half-configured libattr1:arm64 1:2.4.48-5
2020-04-23 07:35:44 status installed libattr1:arm64 1:2.4.48-5
2020-04-23 07:35:44 configure debianutils:arm64 4.9.1 <none>
2020-04-23 07:35:44 status unpacked debianutils:arm64 4.9.1
2020-04-23 07:35:44 status half-configured debianutils:arm64 4.9.1
